ID Gender,Gender,ID Industry Group,Industry Group,ID Year,Year,Median Earnings by Industry and Gender,Median Earnings by Industry and Gender Moe,Geography,ID Geography,Slug Geography
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2016,"2016",17609,1834,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",2,"Construction",2016,"2016",35167,2689,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",3,"Manufacturing",2016,"2016",21965,539,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",4,"Wholesale Trade",2016,"2016",30500,1274,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",5,"Retail Trade",2016,"2016",19555,506,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",6,"Transportation & Warehousing, & Utilities",2016,"2016",33576,3444,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",7,"Information",2016,"2016",53088,1802,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2016,"2016",41566,735,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2016,"2016",35150,850,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2016,"2016",31074,320,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2016,"2016",18475,466,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",13,"Other Services Except Public Administration",2016,"2016",15935,348,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",14,"Public Administration",2016,"2016",42960,2287,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2015,"2015",21268,1431,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",2,"Construction",2015,"2015",22478,437,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",3,"Manufacturing",2015,"2015",29512,1018,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",4,"Wholesale Trade",2015,"2015",32454,1361,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",5,"Retail Trade",2015,"2015",23868,488,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",6,"Transportation & Warehousing, & Utilities",2015,"2015",32112,590,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",7,"Information",2015,"2015",61307,1000,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2015,"2015",52292,1013,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2015,"2015",37864,1547,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2015,"2015",40141,1075,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2015,"2015",21938,308,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",13,"Other Services Except Public Administration",2015,"2015",22733,540,"Los Angeles, CA","16000US0644000","los-angeles-ca"
0,"Male",14,"Public Administration",2015,"2015",65199,2941,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2015,"2015",17200,1347,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",2,"Construction",2015,"2015",32505,2114,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",3,"Manufacturing",2015,"2015",21438,571,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",4,"Wholesale Trade",2015,"2015",30055,2090,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",5,"Retail Trade",2015,"2015",18801,524,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",6,"Transportation & Warehousing, & Utilities",2015,"2015",34078,3518,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",7,"Information",2015,"2015",51619,980,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2015,"2015",41325,690,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2015,"2015",34827,1195,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2015,"2015",30846,306,"Los Angeles, CA","16000US0644000","los-angeles-ca"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2015,"2015",17729,484,"Los Angeles, CA","16000US0644000","los-angeles-ca"
